date	time	id	returning	reward	location	claimed	social
01.10.14	00:45:22	10017	new	tickets	1	yes	inst
01.10.14	00:45:22	10041	new	tickets	2	yes	fb
01.10.14	00:45:22	10018	new	tickets	1	yes	fb
01.10.14	01:45:22	10042	new	tickets	3	yes	inst
01.10.14	02:45:22	10019	new	tickets	1	yes	fb
01.10.14	02:45:22	10043	new	tickets	3	yes	fb
01.10.14	02:45:22	10020	new	tickets	1	yes	fb
01.10.14	02:45:22	10044	new	tickets	1	yes	fb
01.10.14	02:45:22	10021	new	tickets	1	yes	fb
01.10.14	06:45:22	10045	new	tickets	2	yes	fb
01.10.14	06:45:22	10022	new	tickets	1	yes	tw
01.10.14	06:45:22	10046	new	tickets	4	yes	fb
01.10.14	06:45:22	10023	new	tickets	1	yes	Em
01.10.14	06:45:22	10047	new	tickets	3	yes	tw
01.10.14	06:45:22	10024	returning	tickets	1	yes	inst
01.10.14	07:45:22	10048	new	tickets	4	yes	Em
01.10.14	07:45:22	10001	new	ticket	1	yes	fb
01.10.14	07:45:22	10025	returning	tickets	1	yes	inst
01.10.14	08:45:22	10049	new	tickets	4	yes	inst
01.10.14	09:45:22	10002	new	ticket	1	yes	fb
01.10.14	09:45:22	10026	returning	tickets	4	yes	fb
01.10.14	09:45:22	10050	new	tickets	4	yes	inst
01.10.14	09:45:22	10003	new	ticket	1	yes	fb
01.10.14	09:45:22	10027	new	tickets	1	yes	fb
01.10.14	09:45:22	10051	new	tickets	4	yes	fb
01.10.14	11:45:22	10004	new	ticket	1	no	Em
01.10.14	12:45:22	10028	new	ticket	1	yes	fb
01.10.14	12:45:22	10052	new	tickets	4	yes	fb
01.10.14	12:45:22	10005	new	ticket	3	yes	fb
01.10.14	12:45:22	10029	returning	ticket	2	yes	Em
01.10.14	12:45:22	10006	new	ticket	1	yes	inst
01.10.14	13:45:22	10030	new	ticket	2	yes	fb
01.10.14	14:45:22	10007	new	ticket	1	yes	fb
01.10.14	14:45:22	10031	new	ticket	2	yes	inst
01.10.14	15:45:22	10008	new	ticket	4	no	fb
01.10.14	16:45:22	10032	new	ticket	2	yes	fb
01.10.14	16:45:22	10009	new	ticket	1	yes	fb
01.10.14	16:45:22	10033	new	ticket	2	yes	fb
01.10.14	17:45:22	10010	new	ticket	1	yes	fb
01.10.14	17:45:22	10034	new	ticket	2	yes	fb
01.10.14	17:45:22	10011	new	points	1	yes	Em
01.10.14	17:45:22	10035	new	ticket	2	yes	fb
01.10.14	19:45:22	10012	new	point	1	no	fb
01.10.14	19:45:22	10036	new	ticket	2	yes	Em
01.10.14	20:45:22	10013	new	tickets	1	yes	fb
01.10.14	21:45:22	10037	new	ticket	2	yes	fb
01.10.14	21:45:22	10014	new	tickets	1	yes	fb
01.10.14	21:45:22	10038	new	points	2	yes	fb
01.10.14	22:45:22	10015	new	tickets	2	yes	fb
01.10.14	22:45:22	10039	new	point	2	yes	fb
01.10.14	22:45:22	10016	new	tickets	1	yes	fb
01.10.14	23:45:22	10040	new	tickets	2	yes	fb
02.10.14	00:45:22	10065	new	points	1	yes	fb
02.10.14	00:45:22	10089	new	ticket	1	yes	fb
02.10.14	00:45:22	10113	returning	ticket	1	yes	fb
02.10.14	00:45:22	10137	new	ticket	2	yes	fb
02.10.14	01:45:22	10066	new	point	1	yes	fb
02.10.14	02:45:22	10090	new	ticket	1	yes	fb
02.10.14	02:45:22	10114	new	ticket	1	no	fb
02.10.14	02:45:22	10138	new	ticket	2	yes	fb
02.10.14	02:45:22	10162	new	tickets	1	yes	fb
02.10.14	02:45:22	10067	new	tickets	1	yes	inst
02.10.14	03:45:22	10091	new	ticket	1	yes	fb
02.10.14	03:45:22	10115	new	ticket	1	no	fb
02.10.14	03:45:22	10068	new	tickets	1	yes	fb
02.10.14	03:45:22	10092	new	points	1	yes	inst
02.10.14	03:45:22	10116	returning	ticket	1	yes	fb
02.10.14	03:45:22	10140	returning	ticket	3	yes	fb
02.10.14	03:45:22	10164	new	ticket	1	yes	fb
02.10.14	04:45:22	10069	new	tickets	1	yes	fb
02.10.14	06:45:22	10093	new	point	1	yes	fb
02.10.14	06:45:22	10117	new	ticket	1	yes	inst
02.10.14	06:45:22	10070	new	tickets	2	yes	fb
02.10.14	07:45:22	10094	new	tickets	1	yes	fb
02.10.14	07:45:22	10118	new	ticket	1	yes	fb
02.10.14	07:45:22	10142	returning	ticket	2	yes	inst
02.10.14	07:45:22	10166	new	ticket	1	yes	fb
02.10.14	08:45:22	10071	new	tickets	1	yes	fb
02.10.14	08:45:22	10095	new	tickets	1	yes	fb
02.10.14	08:45:22	10119	new	points	1	no	fb
02.10.14	08:45:22	10072	new	tickets	1	yes	tw
02.10.14	08:45:22	10096	new	tickets	4	yes	fb
02.10.14	08:45:22	10120	new	point	1	yes	fb
02.10.14	08:45:22	10144	new	ticket	3	yes	fb
02.10.14	08:45:22	10168	new	ticket	1	yes	fb
02.10.14	08:45:22	10073	new	tickets	1	yes	Em
02.10.14	08:45:22	10097	new	tickets	1	yes	tw
02.10.14	08:45:22	10121	new	tickets	1	yes	fb
02.10.14	09:45:22	10074	new	tickets	1	yes	inst
02.10.14	09:45:22	10098	new	tickets	1	yes	Em
02.10.14	09:45:22	10122	new	tickets	1	yes	tw
02.10.14	09:45:22	10146	new	points	4	yes	fb
02.10.14	09:45:22	10170	returning	ticket	1	yes	fb
02.10.14	09:45:22	10075	new	tickets	3	yes	inst
02.10.14	09:45:22	10099	new	tickets	1	yes	inst
02.10.14	09:45:22	10123	new	tickets	4	yes	Em
02.10.14	09:45:22	10076	new	tickets	1	yes	fb
02.10.14	09:45:22	10100	new	tickets	1	yes	inst
02.10.14	10:45:22	10124	new	tickets	1	yes	inst
02.10.14	10:45:22	10148	new	tickets	4	yes	Em
02.10.14	10:45:22	10172	new	ticket	3	yes	tw
02.10.14	12:45:22	10053	returning	tickets	4	yes	fb
02.10.14	12:45:22	10077	new	tickets	1	yes	fb
02.10.14	12:45:22	10101	new	tickets	1	yes	fb
02.10.14	12:45:22	10125	new	tickets	1	yes	inst
02.10.14	12:45:22	10054	returning	tickets	4	yes	Em
02.10.14	12:45:22	10078	new	tickets	4	yes	fb
02.10.14	12:45:22	10102	new	tickets	3	yes	fb
02.10.14	12:45:22	10126	new	tickets	2	yes	fb
02.10.14	13:45:22	10150	new	tickets	4	yes	inst
02.10.14	13:45:22	10174	returning	point	1	yes	inst
02.10.14	14:45:22	10055	returning	ticket	4	yes	fb
02.10.14	14:45:22	10079	new	tickets	1	yes	Em
02.10.14	14:45:22	10103	new	tickets	1	yes	fb
02.10.14	14:45:22	10127	new	tickets	2	yes	fb
02.10.14	15:45:22	10056	new	ticket	1	yes	inst
02.10.14	15:45:22	10080	new	tickets	1	yes	fb
02.10.14	15:45:22	10104	new	tickets	1	yes	Em
02.10.14	15:45:22	10128	new	tickets	2	yes	fb
02.10.14	15:45:22	10152	new	tickets	4	yes	fb
02.10.14	15:45:22	10176	new	tickets	1	yes	fb
02.10.14	16:45:22	10057	new	ticket	1	no	fb
02.10.14	16:45:22	10081	new	tickets	1	yes	inst
02.10.14	17:45:22	10105	new	tickets	4	yes	fb
02.10.14	17:45:22	10129	new	tickets	2	yes	Em
02.10.14	17:45:22	10058	returning	ticket	1	yes	fb
02.10.14	17:45:22	10082	returning	ticket	1	yes	fb
02.10.14	17:45:22	10106	new	tickets	1	yes	inst
02.10.14	17:45:22	10130	new	tickets	2	yes	fb
02.10.14	17:45:22	10154	new	tickets	1	yes	Em
02.10.14	17:45:22	10178	new	tickets	1	yes	fb
02.10.14	17:45:22	10059	new	ticket	1	yes	fb
02.10.14	17:45:22	10083	returning	ticket	1	yes	fb
02.10.14	18:45:22	10107	new	tickets	1	yes	fb
02.10.14	18:45:22	10131	new	tickets	2	yes	inst
02.10.14	18:45:22	10060	new	ticket	3	yes	fb
02.10.14	18:45:22	10084	returning	ticket	1	yes	fb
02.10.14	18:45:22	10108	new	tickets	1	yes	fb
02.10.14	18:45:22	10132	new	tickets	2	yes	fb
02.10.14	18:45:22	10156	new	tickets	1	yes	inst
02.10.14	19:45:22	10180	new	tickets	1	yes	fb
02.10.14	19:45:22	10061	new	ticket	1	no	Em
02.10.14	19:45:22	10085	new	ticket	2	yes	fb
